Rank,Company Name,Sector
391,Tractor Supply,Retailing
392,Thor Industries,Motor Vehicles &  Parts
393,Dana,Motor Vehicles &  Parts
394,Weyerhaeuser,Materials
395,J.B. Hunt Transport Services,Transportation
396,Darden Restaurants,"Hotels, Restaurants &  Leisure"
397,Yum China Holdings,"Hotels, Restaurants &  Leisure"
398,Blackstone Group,Financials
399,Berry Global Group,Materials
400,Builders FirstSource,Materials
401,Activision Blizzard,Technology
402,JetBlue Airways,Transportation
403,Amphenol,Technology
404,A-Mark Precious Metals,Materials
405,Spirit AeroSystems Holdings,Aerospace &  Defense
406,R.R. Donnelley & Sons,Media
407,Harris,Aerospace &  Defense
408,Expeditors Intl. of Washington,Transportation
409,Discovery,Media
410,Owens-Illinois,Materials
411,Sanmina,Technology
412,KeyCorp,Financials
413,American Financial Group,Financials
414,Oshkosh,Industrials
415,Rockwell Collins,Aerospace &  Defense
416,Kindred Healthcare,Health Care
417,Insight Enterprises,Technology
418,Dr Pepper Snapple Group,"Food, Beverages &  Tobacco"
419,American Tower,Financials
420,Fortive,Industrials
421,Ralph Lauren,Apparel
422,Spectrum Brands Holdings,Household Products
423,Ascena Retail Group,Retailing
424,United Rentals,Business Services
425,Casey’s General Stores,Retailing
426,Graybar Electric,Wholesalers
427,Avery Dennison,Materials
428,MasTec,Engineering &  Construction
429,CMS Energy,Energy
430,HD Supply Holdings,Wholesalers
431,Raymond James Financial,Financials
432,NCR,Technology
433,Hanesbrands,Apparel
434,Asbury Automotive Group,Retailing
435,Citizens Financial Group,Financials
436,Packaging Corp. of America,Materials
437,Alleghany,Financials
438,Apache,Energy
439,Dillard’s,Retailing
440,Assurant,Financials
441,Franklin Resources,Financials
442,Owens Corning,Materials
443,Motorola Solutions,Technology
444,NVR,Engineering &  Construction
445,Rockwell Automation,Industrials
446,TreeHouse Foods,"Food, Beverages &  Tobacco"
447,Wynn Resorts,"Hotels, Restaurants &  Leisure"
448,Olin,Chemicals
449,American Axle & Manufacturing,Motor Vehicles &  Parts
450,Old Republic International,Financials
451,Chemours,Chemicals
452,iHeartMedia,Media
453,Ameren,Energy
454,Arthur J. Gallagher,Financials
455,Celanese,Chemicals
456,Sealed Air,Materials
457,UGI,Energy
458,Realogy Holdings,Financials
459,Burlington Stores,Retailing
460,Regions Financial,Financials
461,AK Steel Holding,Materials
462,Securian Financial Group,Financials
463,S&P Global,Business Services
464,Markel,Financials
465,TravelCenters of America,Retailing
466,Conduent,Business Services
467,M&T Bank Corp.,Financials
468,Clorox,Household Products
469,AmTrust Financial Services,Financials
470,KKR,Financials
471,Ulta Beauty,Retailing
472,Yum Brands,"Hotels, Restaurants &  Leisure"
473,Regeneron Pharmaceuticals,Health Care
474,Windstream Holdings,Telecommunications
475,Magellan Health,Health Care
476,Western & Southern Financial,Financials
477,Intercontinental Exchange,Financials
478,Ingredion,"Food, Beverages &  Tobacco"
479,Wyndham Destinations,"Hotels, Restaurants &  Leisure"
480,Toll Brothers,Engineering &  Construction
481,Seaboard,"Food, Beverages &  Tobacco"
482,Booz Allen Hamilton,Technology
483,First American Financial,Financials
484,Cincinnati Financial,Financials
485,Avon Products,Household Products
486,Northern Trust,Financials
487,Fiserv,Business Services
488,Harley-Davidson,Transportation
489,Cheniere Energy,Energy
490,Patterson,Wholesalers
491,Peabody Energy,Energy
492,ON Semiconductor,Technology
493,Simon Property Group,Financials
494,Western Union,Business Services
495,NetApp,Technology
496,Polaris Industries,Transportation
497,Pioneer Natural Resources,Energy
498,ABM Industries,Business Services
499,Vistra Energy,Energy
500,Cintas,Business Services
